Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 001461s	Train Epoch: 01 [058880/235930] (25%)	Loss: 300.900705	Cross Entropy: 0.3510	ELBO: 300.5497	Accuracy: 0.854399
Time: 001477s	Train Epoch: 01 [059520/235930] (25%)	Loss: 297.667318	Cross Entropy: 0.3493	ELBO: 297.3180	Accuracy: 0.855074
Time: 001493s	Train Epoch: 01 [060160/235930] (25%)	Loss: 294.502741	Cross Entropy: 0.3477	ELBO: 294.1550	Accuracy: 0.855818
Time: 001508s	Train Epoch: 01 [060800/235930] (26%)	Loss: 291.405056	Cross Entropy: 0.3464	ELBO: 291.0587	Accuracy: 0.856349
Time: 001524s	Train Epoch: 01 [061440/235930] (26%)	Loss: 288.371983	Cross Entropy: 0.3452	ELBO: 288.0268	Accuracy: 0.856950
Time: 001540s	Train Epoch: 01 [062080/235930] (26%)	Loss: 285.401054	Cross Entropy: 0.3436	ELBO: 285.0575	Accuracy: 0.857700
Time: 001556s	Train Epoch: 01 [062720/235930] (27%)	Loss: 282.491218	Cross Entropy: 0.3425	ELBO: 282.1487	Accuracy: 0.858227
Time: 001572s	Train Epoch: 01 [063360/235930] (27%)	Loss: 279.639499	Cross Entropy: 0.3408	ELBO: 279.2987	Accuracy: 0.859012
Time: 001588s	Train Epoch: 01 [064000/235930] (27%)	Loss: 276.845471	Cross Entropy: 0.3397	ELBO: 276.5057	Accuracy: 0.859453
Time: 001604s	Train Epoch: 01 [064640/235930] (27%)	Loss: 274.107010	Cross Entropy: 0.3390	ELBO: 273.7680	Accuracy: 0.859793
Time: 001620s	Train Epoch: 01 [065280/235930] (28%)	Loss: 271.421672	Cross Entropy: 0.3376	ELBO: 271.0840	Accuracy: 0.860325
Time: 001636s	Train Epoch: 01 [065920/235930] (28%)	Loss: 268.788001	Cross Entropy: 0.3358	ELBO: 268.4522	Accuracy: 0.861120
Time: 001651s	Train Epoch: 01 [066560/235930] (28%)	Loss: 266.205468	Cross Entropy: 0.3346	ELBO: 265.8709	Accuracy: 0.861659
Time: 001667s	Train Epoch: 01 [067200/235930] (28%)	Loss: 263.672194	Cross Entropy: 0.3334	ELBO: 263.3388	Accuracy: 0.862336
Time: 001683s	Train Epoch: 01 [067840/235930] (29%)	Loss: 261.186655	Cross Entropy: 0.3322	ELBO: 260.8545	Accuracy: 0.862927
Time: 001699s	Train Epoch: 01 [068480/235930] (29%)	Loss: 258.747664	Cross Entropy: 0.3311	ELBO: 258.4166	Accuracy: 0.863420
Time: 001715s	Train Epoch: 01 [069120/235930] (29%)	Loss: 256.353505	Cross Entropy: 0.3297	ELBO: 256.0238	Accuracy: 0.864019
Time: 001731s	Train Epoch: 01 [069760/235930] (30%)	Loss: 254.003728	Cross Entropy: 0.3287	ELBO: 253.6750	Accuracy: 0.864378
Time: 001746s	Train Epoch: 01 [070400/235930] (30%)	Loss: 251.696547	Cross Entropy: 0.3277	ELBO: 251.3688	Accuracy: 0.864886
Time: 001762s	Train Epoch: 01 [071040/235930] (30%)	Loss: 249.430991	Cross Entropy: 0.3267	ELBO: 249.1043	Accuracy: 0.865372
Time: 001778s	Train Epoch: 01 [071680/235930] (30%)	Loss: 247.205643	Cross Entropy: 0.3255	ELBO: 246.8801	Accuracy: 0.865946
Time: 001794s	Train Epoch: 01 [072320/235930] (31%)	Loss: 245.019817	Cross Entropy: 0.3245	ELBO: 244.6953	Accuracy: 0.866427
Time: 001810s	Train Epoch: 01 [072960/235930] (31%)	Loss: 242.872312	Cross Entropy: 0.3234	ELBO: 242.5489	Accuracy: 0.866859
Time: 001826s	Train Epoch: 01 [073600/235930] (31%)	Loss: 240.761974	Cross Entropy: 0.3222	ELBO: 240.4398	Accuracy: 0.867351
Time: 001842s	Train Epoch: 01 [074240/235930] (31%)	Loss: 238.688260	Cross Entropy: 0.3213	ELBO: 238.3670	Accuracy: 0.867821
Time: 001858s	Train Epoch: 01 [074880/235930] (32%)	Loss: 236.650041	Cross Entropy: 0.3204	ELBO: 236.3297	Accuracy: 0.868229
Time: 001874s	Train Epoch: 01 [075520/235930] (32%)	Loss: 234.646460	Cross Entropy: 0.3196	ELBO: 234.3269	Accuracy: 0.868710
Time: 001890s	Train Epoch: 01 [076160/235930] (32%)	Loss: 232.676192	Cross Entropy: 0.3184	ELBO: 232.3578	Accuracy: 0.869170
Time: 001905s	Train Epoch: 01 [076800/235930] (33%)	Loss: 230.738862	Cross Entropy: 0.3174	ELBO: 230.4214	Accuracy: 0.869661
Time: 001921s	Train Epoch: 01 [077440/235930] (33%)	Loss: 228.833636	Cross Entropy: 0.3165	ELBO: 228.5171	Accuracy: 0.870080
Time: 001937s	Train Epoch: 01 [078080/235930] (33%)	Loss: 226.959481	Cross Entropy: 0.3154	ELBO: 226.6440	Accuracy: 0.870633
Time: 001953s	Train Epoch: 01 [078720/235930] (33%)	Loss: 225.115594	Cross Entropy: 0.3142	ELBO: 224.8014	Accuracy: 0.871151
Time: 001969s	Train Epoch: 01 [079360/235930] (34%)	Loss: 223.301562	Cross Entropy: 0.3131	ELBO: 222.9885	Accuracy: 0.871673
Time: 001985s	Train Epoch: 01 [080000/235930] (34%)	Loss: 221.516936	Cross Entropy: 0.3124	ELBO: 221.2046	Accuracy: 0.872075
Time: 002001s	Train Epoch: 01 [080640/235930] (34%)	Loss: 219.760429	Cross Entropy: 0.3114	ELBO: 219.4490	Accuracy: 0.872483
Time: 002017s	Train Epoch: 01 [081280/235930] (34%)	Loss: 218.031884	Cross Entropy: 0.3108	ELBO: 217.7210	Accuracy: 0.872945
Time: 002033s	Train Epoch: 01 [081920/235930] (35%)	Loss: 216.329800	Cross Entropy: 0.3097	ELBO: 216.0201	Accuracy: 0.873438
Time: 002049s	Train Epoch: 01 [082560/235930] (35%)	Loss: 214.654286	Cross Entropy: 0.3088	ELBO: 214.3455	Accuracy: 0.873861
